epoch,train_loss,val_loss,task_loss,kd_loss,ewc_loss,lr
0,0.03814512300001233,0.0004004092060543708,0.03814512300001233,0.0,0.0,0.0001
1,0.007289109401440374,0.0010833577609132713,0.007289109401440374,0.0,0.0,0.0001
2,0.005320403638044922,0.00045473227724305,0.005320403638044922,0.0,0.0,0.0001
3,0.004319283475863256,0.0005640223632327576,0.004319283475863256,0.0,0.0,0.0001
4,0.0034230238326093437,0.0003975353986870808,0.0034230238326093437,0.0,0.0,0.0001
5,0.0026605282705228577,0.00045129814140198505,0.0026605282705228577,0.0,0.0,0.0001
6,0.0020694780284888827,0.0004503029631323113,0.0020694780284888827,0.0,0.0,0.0001
7,0.0015643067949203107,0.0004161807923039902,0.0015643067949203107,0.0,0.0,0.0001
8,0.0011575216419993527,0.0004036748694167886,0.0011575216419993527,0.0,0.0,0.0001
9,0.0008747799340127821,0.0004011658670443961,0.0008747799340127821,0.0,0.0,0.0001
10,0.0006857806477917945,0.00041284107877901434,0.0006857806477917945,0.0,0.0,5e-05
11,0.0005899302327433514,0.0004348710475799067,0.0005899302327433514,0.0,0.0,5e-05
12,0.0005466785986917842,0.0004258085594670647,0.0005466785986917842,0.0,0.0,5e-05
13,0.0005135498078880796,0.00040562599237267964,0.0005135498078880796,0.0,0.0,5e-05
14,0.0004812120631636047,0.00041707740783165285,0.0004812120631636047,0.0,0.0,5e-05
15,0.00042112928702734293,0.00040566151076202114,0.00042112928702734293,0.0,0.0,5e-05
16,0.00032382600600388124,0.000469594366706684,0.00032382600600388124,0.0,0.0,2.5e-05
17,0.00028485981717524657,0.0004691469556341022,0.00028485981717524657,0.0,0.0,2.5e-05
18,0.0002738582279172208,0.00044002683609778236,0.0002738582279172208,0.0,0.0,2.5e-05
19,0.0002347368423940509,0.0006169527376124231,0.0002347368423940509,0.0,0.0,2.5e-05
20,0.00021776952965360058,0.0006409920340111336,0.00021776952965360058,0.0,0.0,2.5e-05
21,0.0002036725058917523,0.0005097215483493883,0.0002036725058917523,0.0,0.0,2.5e-05
22,0.00021634170354628413,0.0007014192597509613,0.00021634170354628413,0.0,0.0,1.25e-05
23,0.00018185332844851434,0.0006224904858545159,0.00018185332844851434,0.0,0.0,1.25e-05
24,0.0001751427182451286,0.0005886423769954518,0.0001751427182451286,0.0,0.0,1.25e-05
