epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,s,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0005720046549258044,0.0005720046549258044,0.0,0.0,0.0012226305623430644,0.3974071846676714,0.41245648907597443,0.0,0.0,0.0,0.0,0.0001,86.27036356925964
1,0.00045144178400102455,0.00044934109797354916,2.013654396250915e-06,8.703163122449644e-08,0.0007614609633448461,0.3966392307553932,0.4124870625182694,0.0018688225777338532,0.00012385364774907724,0.004460496275742045,0.0001927859456277067,0.0001,86.1452751159668
2,0.0004021144843287842,0.0003978170749463338,3.938172563233848e-06,3.592368192164772e-07,0.001240544674520582,0.39224284018599465,0.41082454007895863,0.003748221805860764,0.0002467089152468265,0.009793660056308362,0.0008933695084774699,0.0001,87.22672271728516
3,0.0003428358063131073,0.00033616722021355075,5.784890746570182e-06,8.836953529863952e-07,0.0006624369312532918,0.39461721908571484,0.41197281076152786,0.005611375090464656,0.0003710977144937401,0.016873648084724614,0.0025776051880045696,0.0001,85.79751014709473
4,0.00030202396075524457,0.0002946326893273898,5.715675619836208e-06,1.675595808018594e-06,0.0009669247616289988,0.3987090810535794,0.41278409363106605,0.005603633250344378,0.000495771338057323,0.018924576730745216,0.005547890319127595,0.0001,84.81089663505554
5,0.00026156944277086046,0.000253192350120771,5.693712983837941e-06,2.683379666251498e-06,0.0010664294512371612,0.396039675823333,0.41227674779512574,0.005608474706382722,0.000618952492531703,0.02176750052882032,0.010258765847516017,0.0001,84.71538424491882
6,0.0002462181399683256,0.00023660397849578366,5.659737837163572e-06,3.954423635378317e-06,0.0009658479205935171,0.4025738235842929,0.41320219513797596,0.00559964342738365,0.0007444102437539761,0.022986680989027303,0.01606065107910826,0.0001,84.67159175872803
7,0.00021408227761272847,0.00020302940471531874,5.628553734354784e-06,5.424319163054963e-06,0.0007281402452867953,0.39245084681878933,0.41120944504211093,0.005618659670941943,0.0008642902061578814,0.02629154452727166,0.025337544160789774,0.0001,84.57021617889404
8,0.00020873475853824233,0.00019596189749999774,5.6495352342288806e-06,7.123325804015702e-06,0.0005182444531890642,0.39486896597055476,0.41146243045226655,0.0056162455036129705,0.0009883679281884358,0.02706561798232482,0.03412620808292758,0.0001,85.43759512901306
9,0.0001988978007686294,0.00018426118760832776,5.605327831888859e-06,9.031285328412766e-06,0.0007351879385953516,0.39873836773957394,0.4132855139588035,0.005598848339734107,0.0011168405219265417,0.02818194977635441,0.045406662585065656,0.0001,85.26891446113586
10,0.00019272670546311436,0.00017608448892991645,5.631349460633193e-06,1.101086707256471e-05,0.0003965067559256779,0.39699392915819137,0.4120981195612723,0.0056101793044697566,0.0012373686347056851,0.02921935207215467,0.05713202561163514,0.0001,86.69693446159363
11,0.0001805548741384546,0.00016303494372874313,5.587406178892203e-06,1.1932524230819279e-05,0.00018401740772286239,0.39548349157824536,0.41182353475111033,0.00561279958868817,0.0012365441644750933,0.030945751010895563,0.06608807592571042,0.0001,89.17310237884521
12,0.00017676704636883974,0.0001583168058733648,5.5822073300518314e-06,1.2868033165423114e-05,8.337688326905387e-05,0.39464073566507757,0.4113151998223666,0.005617650483355922,0.001235017834538375,0.03157945694472981,0.0727965615184453,0.0001,90.97446870803833
13,0.00017066048993379402,0.000151259010185983,5.596211761497488e-06,1.380526798631353e-05,5.481180112936889e-05,0.39642660135437846,0.4118201951085903,0.005612831457940464,0.0012365341368416045,0.03279149007288378,0.0808931697762566,0.0001,95.97250699996948
14,0.0001650595977855799,0.00014475852128133923,5.572588122554819e-06,1.472848838168585e-05,9.856955947272322e-05,0.3950817671369748,0.4122488875573768,0.005608740568654017,0.0012378213317228355,0.033761066895327534,0.08923133570711134,0.0001,96.03065609931946
15,0.0001547351021200664,0.00013359431141334895,5.556225329763428e-06,1.558456537695403e-05,0.00016144988399777402,0.39508650017005936,0.4116930153291352,0.005614045098158983,0.0012361522659652363,0.035907982439899684,0.10071771151746303,0.0001,93.50199770927429
16,0.00015275736035196797,0.00013083458656210713,5.5710087432718685e-06,1.635176504658897e-05,4.046483340723157e-05,0.39340497837680066,0.4109085256704283,0.005621531258340283,0.0012337967519459772,0.03646965835515695,0.1070440403585981,0.0001,93.30026340484619
17,0.00014904431198813236,0.0001263045530794028,5.569081438190003e-06,1.717067747053956e-05,7.680577817817327e-05,0.3961292766379672,0.4117436773567259,0.005613561644936311,0.0012363043841160746,0.03736527321239499,0.1152051845622044,0.0001,106.13829565048218
18,0.0001505275569804447,0.00012693843039038072,5.574177152257377e-06,1.801494943780661e-05,0.0003183371693174963,0.3973396701372875,0.4119720276772083,0.005611382563214066,0.001236990030351468,0.0370309414706141,0.1196787471954186,0.0001,93.22522401809692
19,0.0001384783354581758,0.00011406789350550417,5.531639822257783e-06,1.8878802130413843e-05,0.0002957889026033424,0.3948324524440234,0.4121887659342111,0.005609314292088598,0.0012376408101255727,0.039945886148584506,0.13633036581462776,0.0001,93.16955089569092
