epoch,train_loss,train_sup,train_kd,train_si,val_loss,kl,s,lam_kd,lam_si,kd_ratio,si_ratio,lr,time
0,0.0014131298560656502,0.0014131298560656502,0.0,0.0,0.0007145323802376067,0.5703565482225316,0.4580760210815501,0.0,0.0,0.0,0.0,0.0001,110.31372094154358
1,0.0008019448609882975,0.0007964034872832924,5.378515990798153e-06,1.6285771420697082e-07,0.0018197214000142303,0.5686951298979618,0.459977458189704,0.000515328048576813,0.00013811314646170315,0.006706840148797511,0.00020307844358060837,0.0001,103.87210512161255
2,0.0007234313858064971,0.00071182814608917,1.1009910650208808e-05,5.933290671182426e-07,0.001043608780595206,0.5655431868049152,0.4563420226363661,0.0010375944812556952,0.00027404313618783013,0.015219011596980575,0.0008201594218320877,0.0001,113.821941614151
3,0.000564401482169308,0.0005469005403419194,1.6249895333563856e-05,1.251046493824697e-06,0.002082556125779055,0.568693032556586,0.45792302696258863,0.001551865600410024,0.00041248884460542707,0.02879137608056324,0.002216589667724173,0.0001,117.58738303184509
4,0.0005836552872098049,0.0005596056663414844,2.1942473521900423e-05,2.107147346420066e-06,0.001486849934340371,0.5639206737044872,0.4594906715313997,0.00206317030058449,0.0005518679342658556,0.037594919471727196,0.003610260015793562,0.0001,120.23404049873352
5,0.0004467152872429646,0.00041681900878307916,2.6681914914192365e-05,3.2143635456930846e-06,0.0016248440552847191,0.5717171067527326,0.46143483343220115,0.0025696865855678063,0.000692753694748121,0.059729128767604285,0.007195553045725118,0.0001,128.227219581604
6,0.0004082737225443421,0.000371797768502788,3.188035939024765e-05,4.595594651306472e-06,0.001919077345454392,0.5616753527575419,0.45653191735097465,0.003111696177234993,0.0008224715160654641,0.07808574892248953,0.011256160750848591,5e-05,130.4169797897339
7,0.00036307845045943204,0.0003200509826903968,3.697356334957711e-05,6.053904419458161e-06,0.0015064151956666505,0.5670274086215206,0.45510113251633677,0.003639869705763124,0.0009565428430393913,0.10183353846198119,0.016673819147894,5e-05,136.18000841140747
8,0.00035194692692453627,0.00030205584393919004,4.224241240634394e-05,7.648670579002273e-06,0.0013840360946556533,0.5724939592300147,0.46251012801636077,0.004103289554256124,0.0011109888611002333,0.12002495028291998,0.021732454509092176,5e-05,133.61289429664612
9,0.000358337660039938,0.0003013865926293365,4.7770446430078436e-05,9.180620980523012e-06,0.0013935893855555738,0.5630985101511488,0.45686441533058025,0.004664688626142141,0.0012346057987368346,0.13331126408749294,0.025620028270262746,5e-05,133.69424629211426
10,0.00039321528632221353,0.0003291339007763303,5.3246923684183704e-05,1.0834461861699503e-05,0.0017976886680702228,0.5601106212214245,0.45588550546600864,0.005192328818915484,0.001368844939358462,0.13541417522754043,0.027553511367870348,5e-05,140.58215403556824
11,0.00033833429574117583,0.00027457497233669264,5.231548341394709e-05,1.1443839990536096e-05,0.001536036965839404,0.5693541775951612,0.457552488303039,0.005176421279027664,0.00137385023343583,0.15462660472933018,0.03382406139308614,5e-05,138.10626935958862
12,0.0003386807953241259,0.0002743720017896636,5.226575294079549e-05,1.2043040593666786e-05,0.0014631049218240483,0.5704235584599107,0.4606025796101127,0.005147315131051195,0.00138300845847306,0.15432157259101706,0.03555867577947931,2.5e-05,137.32714986801147
13,0.0003007985756030068,0.00023623051465286154,5.2042322149927144e-05,1.2525738800218132e-05,0.0016966239306950876,0.5737085201562554,0.46244805720092,0.005129704266838482,0.0013885497021199548,0.17301385834556765,0.041641616071844606,2.5e-05,138.5634400844574
14,0.0002919696380179864,0.00022699828276242343,5.23899915940368e-05,1.2581363661526191e-05,0.0017150475884478886,0.5633921505012746,0.4553401973052289,0.005197532538549613,0.0013672075933421413,0.1794364371229908,0.043091342466065365,2.5e-05,138.24619722366333
15,0.00028036644823011854,0.00021532240702345807,5.21679889818435e-05,1.2876052224816982e-05,0.0016301468151815003,0.5672810951030305,0.45676675159245383,0.005183919339467955,0.0013714909750100676,0.18607072747529751,0.045925795708082036,2.5e-05,140.95921993255615
16,0.00028408680330484654,0.0002185139463772758,5.23864505352002e-05,1.3186406392370558e-05,0.0018311954797634172,0.5684783281188391,0.4581492484137743,0.005170726568167945,0.0013756420694292953,0.18440297094330563,0.04641682133407848,2.5e-05,137.47295689582825
17,0.00029479443764394633,0.00022947937837731043,5.172884305021738e-05,1.3586216216418505e-05,0.001786568506850764,0.57211345252975,0.46225739245140385,0.005131523725947927,0.001387977210837915,0.17547428460198983,0.046087084698755346,2.5e-05,140.58299469947815
18,0.0002704306083288877,0.00020417195866051965,5.250615659147431e-05,1.3752493076893729e-05,0.001774806249890139,0.5696319783871956,0.45977869037815317,0.00515517727007832,0.0013805346430254555,0.19415759523647658,0.050854055174732495,1.25e-05,139.06206727027893
19,0.00025836031328215945,0.00019181182181452334,5.2587987851817284e-05,1.3960503615818832e-05,0.0018216056758497592,0.5644758631729215,0.46024560997707975,0.005150721590044112,0.0013819366190093725,0.20354514663552484,0.05403501582138252,1.25e-05,138.24426865577698
20,0.0002578010088341896,0.00019144424288280106,5.236173462330996e-05,1.3995031328078583e-05,0.0018461701110224422,0.5664164379115922,0.4568327101121684,0.0051832899162009595,0.0013716890225128674,0.20310911450694732,0.05428617751096466,1.25e-05,137.62648963928223
