number,state,values_0,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_acc_mae,user_attrs_acc_r2,user_attrs_mae_values,user_attrs_r2_values
0,COMPLETE,0.0712401419878006,0.13812637115516901,1.966092392664159,94.80122695733424,574.8427939539222,0.0712401419878006,-15.557234326998392,"[0.02651616372168064, 0.07717621326446533, 0.11002805083990097]","[-0.5885635614395142, -8.536848068237305, -37.54629135131836]"
1,COMPLETE,0.05549470707774162,0.48729972848484526,1.9010616273079866,374.8019909041726,2864.46916779365,0.05549470707774162,-8.117857456207275,"[0.039719436317682266, 0.05539817363023758, 0.07136651128530502]","[-4.953098773956299, -4.114506721496582, -15.285966873168945]"
2,COMPLETE,0.03431783616542816,1.9870406928536826,1.6201599960394095,171.7626583282245,639.8359008016964,0.03431783616542816,-2.230713129043579,"[0.0474260151386261, 0.02466973476111889, 0.0308577548712492]","[-2.9515106678009033, -1.3125245571136475, -2.4281041622161865]"
3,COMPLETE,0.035872768610715866,0.9734993265536687,1.4116904952463927,5683.984939447727,12.011488994596808,0.035872768610715866,-3.2371079126993814,"[0.039412520825862885, 0.026779070496559143, 0.041426707059144974]","[-2.007312536239624, -1.3961255550384521, -6.307885646820068]"
4,COMPLETE,0.046807367354631424,0.5008460955030256,0.7020866603560705,10.676945832774068,12.45716164115231,0.046807367354631424,-5.851594567298889,"[0.07256541401147842, 0.01888003572821617, 0.048976652324199677]","[-10.359515190124512, -0.16464030742645264, -7.030628204345703]"
5,COMPLETE,0.03286897763609886,1.115377000702657,1.8163065239379805,1102.0255144284647,354.9900564809153,0.03286897763609886,-1.592520038286845,"[0.026127507910132408, 0.047026004642248154, 0.02545342408120632]","[-0.5159798860549927, -2.8869659900665283, -1.3746142387390137]"
6,COMPLETE,0.05158523842692375,1.1280432715402677,1.114883129917173,21.41750035925969,6426.058395149104,0.05158523842692375,-9.257362087567648,"[0.02627743035554886, 0.0475735105574131, 0.0809047669172287]","[-0.8844927549362183, -2.8883793354034424, -23.99921417236328]"
7,COMPLETE,0.027213148772716522,1.1060843306070314,0.9705706671584831,63.09920940232105,910.9875675414263,0.027213148772716522,-1.2554563283920288,"[0.019326400011777878, 0.023711735382676125, 0.038601309061050415]","[0.016519784927368164, 0.048351407051086426, -3.831240177154541]"
8,COMPLETE,0.027462756261229515,0.031270693615382594,1.80742402635417,34.18247825174926,225.77858150662286,0.027462756261229515,-1.0543584823608398,"[0.048199497163295746, 0.017079666256904602, 0.017109107226133347]","[-3.16593599319458, 0.2642112970352173, -0.26135075092315674]"
9,COMPLETE,0.04596179351210594,0.06856412261517675,0.9085887671145796,4233.593090367894,421.69369372600795,0.04596179351210594,-7.269870062669118,"[0.019731294363737106, 0.03857284411787987, 0.07958123832941055]","[0.03490060567855835, -1.9764478206634521, -19.86806297302246]"
10,COMPLETE,0.0917373076081276,1.6878210970578693,0.1573074337765097,689.9199516884859,69.22198525253918,0.0917373076081276,-16.822592735290527,"[0.11937670409679413, 0.08137258142232895, 0.07446266710758209]","[-22.425416946411133, -10.409239768981934, -17.633121490478516]"
11,PRUNED,-3.1926032304763794,0.7570925931218945,0.5909018391831277,45.26102575286089,85.22310542062166,,,,
12,COMPLETE,0.04898897930979729,1.4280425215512134,1.2913206257435794,52.503205588919045,1846.0766115687134,0.04898897930979729,-6.569788138071696,"[0.03799524903297424, 0.04897478595376015, 0.05999691039323807]","[-5.486508369445801, -3.0584464073181152, -11.164409637451172]"
13,COMPLETE,0.03221631050109863,1.4256493605656455,0.24693711078380498,25.467886865607678,100.72320993059382,0.03221631050109863,-1.653812289237976,"[0.05273520573973656, 0.027488961815834045, 0.01642475835978985]","[-3.78969669342041, -0.45576179027557373, -0.7159783840179443]"
14,PRUNED,-2.672780156135559,0.4732656941363467,0.9247201393355108,121.08731974746384,1343.077401021111,,,,
15,COMPLETE,0.05514479801058769,0.7822764903366691,1.51706660347693,12.535817410294138,171.04609461316898,0.05514479801058769,-8.362303892771402,"[0.04092111065983772, 0.05114177614450455, 0.07337149232625961]","[-4.703153610229492, -3.372659206390381, -17.011098861694336]"
16,PRUNED,-3.3851306438446045,1.3637269197314377,0.5505518748774303,52.274154218576875,36.43168269865627,,,,
17,PRUNED,-3.4667462706565857,0.2562101149846139,1.1491505031748193,259.1800610029431,8003.5957682032285,,,,
18,PRUNED,-3.146212339401245,0.7851501867627001,1.7249206931487333,28.15729166485749,198.10871720353106,,,,
19,PRUNED,-2.51949280500412,1.657329081834342,0.38529222611255154,1759.8430020420747,1049.665049438986,,,,
20,PRUNED,-2.692341923713684,0.29533879518350625,0.744075825294275,104.40448446281387,31.889003031490926,,,,
21,PRUNED,-2.1710734963417053,1.3636472304572766,0.0815190174654219,22.681161335359015,124.91895395591317,,,,
22,PRUNED,-2.786746621131897,1.5865082376682982,0.36038340993656837,34.655604006802534,236.7728389437364,,,,
23,PRUNED,-2.840619921684265,1.1636075505859926,1.2935871307699482,71.78613552475159,49.00594036574523,,,,
24,PRUNED,-2.833923637866974,1.9081730570920947,0.30770096585067697,14.784029562823292,3420.4964396163186,,,,
25,COMPLETE,0.038915473967790604,0.8963608164828741,0.807988708747732,19.90317023860934,851.3009029687929,0.038915473967790604,-4.000036795934041,"[0.060691334307193756, 0.024334870278835297, 0.03172021359205246]","[-8.051576614379883, -0.8177077770233154, -3.130825996398926]"
26,COMPLETE,0.08912775665521622,1.2502968751208983,0.014893618671397935,149.87567002108747,120.1426135049763,0.08912775665521622,-17.05362892150879,"[0.09028540551662445, 0.08154682070016861, 0.095551036298275]","[-12.88830852508545, -9.886652946472168, -28.38592529296875]"
27,COMPLETE,0.036755118519067764,1.4735097989389918,1.060766507167497,306.43457510387725,443.87749771046947,0.036755118519067764,-4.82201874256134,"[0.016078541055321693, 0.024307217448949814, 0.06987959891557693]","[0.30148959159851074, -0.18083584308624268, -14.586709976196289]"
28,COMPLETE,0.03308878466486931,1.8205991760659404,0.5493096210164481,64.98601343018474,18.60956518658406,0.03308878466486931,-2.369304339090983,"[0.0488135889172554, 0.019816294312477112, 0.03063647449016571]","[-4.505712509155273, -0.0050580501556396484, -2.597142457962036]"
29,PRUNED,-2.540226995944977,0.601678648605558,0.22470737490585913,35.39994142276944,261.2484909143351,,,,
30,COMPLETE,0.04328501224517822,0.0010706648543654662,1.2515500460124684,84.27165844291551,719.7411677729627,0.04328501224517822,-5.6041942437489825,"[0.020547199994325638, 0.03911786898970604, 0.0701899603009224]","[-0.027966022491455078, -1.711651086807251, -15.072965621948242]"
31,PRUNED,-2.5624639987945557,1.0959288322796124,1.96836771691276,1003.9583670006435,361.7161654070399,,,,
32,PRUNED,-2.7429175972938538,1.2623917063950252,1.8067574309863454,2536.553954447768,134.66152265511542,,,,
33,COMPLETE,0.08134812861680984,1.0331584482306806,1.6986687625800432,522.8711046477374,562.0104716874953,0.08134812861680984,-19.63607116540273,"[0.028506271541118622, 0.09575026482343674, 0.11978786438703537]","[-0.9248102903366089, -13.419564247131348, -44.563838958740234]"
34,PRUNED,-2.7428160905838013,0.9777378099719295,1.5346131472504494,210.95403127827802,1751.828285524167,,,,
35,PRUNED,-2.4905881881713867,1.2466524619675312,1.896343862258996,1069.5986936119455,300.3168688077788,,,,
36,COMPLETE,0.04616447910666466,1.5086177739178654,1.4957391846874648,7490.875786274489,85.03142209491098,0.04616447910666466,-6.595060388247172,"[0.021264884620904922, 0.04424624890089035, 0.0729822963476181]","[-0.36478865146636963, -2.513637065887451, -16.906755447387695]"
37,PRUNED,-2.4528329372406006,0.5884174686409016,1.8546311122330141,16.50513497544789,485.23347396697005,,,,
38,PRUNED,-2.7128711938858032,0.9202090730583127,1.3936074477430114,497.1807761508217,3344.282180725894,,,,
39,COMPLETE,0.03983183205127716,1.1118270270211423,1.6841655348724889,10.185355900891256,56.35184087026323,0.03983183205127716,-4.489383081595103,"[0.04571489989757538, 0.011308441869914532, 0.0624721497297287]","[-2.6735072135925293, 0.7035698294639587, -11.498211860656738]"
40,COMPLETE,0.023841584101319313,1.3195404374700876,0.9808424331768026,2599.2136678385696,178.29988165510156,0.023841584101319313,-0.7405654390652975,"[0.01717602089047432, 0.02402568608522415, 0.030323050916194916]","[0.30635398626327515, -0.10104072093963623, -2.4270095825195312]"
41,PRUNED,-3.50969922542572,1.3261218874850145,0.906234525471577,4156.209666270225,146.9055336889369,,,,
42,COMPLETE,0.04668673872947693,1.17496108393111,0.6494296848797125,2499.3628932302254,88.91360232668492,0.04668673872947693,-5.991195440292358,"[0.030712293460965157, 0.05174507945775986, 0.05760284140706062]","[-1.8939955234527588, -3.7133140563964844, -12.366276741027832]"
43,COMPLETE,0.03430758789181709,1.5469709369508018,1.033234097216942,1509.5281400946967,228.05600106211395,0.03430758789181709,-2.3691495855649314,"[0.015887850895524025, 0.043614763766527176, 0.043420154601335526]","[0.45581990480422974, -2.1489601135253906, -5.414308547973633]"
44,PRUNED,-2.1474014818668365,1.7502433282031928,1.194415688143088,3744.3391148548526,308.04659830832685,,,,
45,COMPLETE,0.043615955859422684,1.445690691018008,0.4528347140741412,40.445804847150434,900.0597436003246,0.043615955859422684,-4.004943927129109,"[0.07165214419364929, 0.019294261932373047, 0.03990146517753601]","[-7.768949508666992, 0.04459834098815918, -4.290480613708496]"
46,PRUNED,-3.640863537788391,1.0407570431070348,1.9935453781257915,25.169801591332064,612.2912695442948,,,,
47,PRUNED,-3.1853268146514893,0.908472871937674,0.9587226987185503,945.1439419146003,183.96102677409434,,,,
48,PRUNED,-2.951387405395508,0.8218863780546612,1.3864709436589278,6314.5626997613335,1292.2592543507287,,,,
49,PRUNED,-2.696583926677704,0.677822582159088,1.6079019752436887,1542.7907093310585,4979.611862900099,,,,
