task,current_task_NEG_MAE,current_task_MAE,current_task_R2,current_task_RMSE,test_full_NEG_MAE,test_full_MAE,test_full_R2,test_full_RMSE,EWC_lambda,LWF_alpha
task0,-0.045395735651254654,0.045395735651254654,-3.338817596435547,0.05225834622979164,-0.0730363205075264,0.0730363205075264,-0.1948537826538086,0.0919710099697113,0.0,0.0
task1,-0.053367722779512405,0.053367722779512405,-4.445163249969482,0.059349410235881805,-0.05328454449772835,0.05328454449772835,0.33675235509872437,0.06852221488952637,0.0,0.0
task2,-0.1383604258298874,0.1383604258298874,-62.07566452026367,0.14152169227600098,-0.08211112767457962,0.08211112767457962,-0.2921626567840576,0.09564276784658432,0.0,0.0
