epoch,train_task,kd_pct,si_pct,kl,val_mae
0,0.03424520650152262,0.0,0.0,0.0,0.040886898088435444
1,0.0073882130662679905,0.0,0.0,0.0,0.03614828928067172
2,0.005553839180134427,0.0,0.0,0.0,0.015670908964986706
3,0.00395741537343219,0.0,0.0,0.0,0.012477861219171611
4,0.0029705796013940987,0.0,0.0,0.0,0.01496991424709219
5,0.0022705788691476463,0.0,0.0,0.0,0.014074438494852619
6,0.0016811067822901057,0.0,0.0,0.0,0.014000623822459183
7,0.0012226463530689475,0.0,0.0,0.0,0.01710136632062842
8,0.000908930020398427,0.0,0.0,0.0,0.012918292173372186
9,0.0007018356176183518,0.0,0.0,0.0,0.016901303864498427
10,0.0005693888283528395,0.0,0.0,0.0,0.01375133934563328
11,0.0005002339907511778,0.0,0.0,0.0,0.014115851390230895
12,0.0004613972508402507,0.0,0.0,0.0,0.013839889201215021
13,0.00041976431115817034,0.0,0.0,0.0,0.012330886766064456
14,0.0002616570341081585,0.0,0.0,0.0,0.013908523968196147
15,0.00019762579563862288,0.0,0.0,0.0,0.021142713603628627
16,0.0001580215839572701,0.0,0.0,0.0,0.022477303043714782
17,0.00014238436915466098,0.0,0.0,0.0,0.020643223401970168
18,0.00013012509406380767,0.0,0.0,0.0,0.02160491984355319
19,0.00011888479263127668,0.0,0.0,0.0,0.02416377478945396
20,0.00011306579347699304,0.0,0.0,0.0,0.02571565153276745
21,0.00012110566364438154,0.0,0.0,0.0,0.024165404665314538
22,0.00012173598255042944,0.0,0.0,0.0,0.02391745184664156
23,0.00010746306650231858,0.0,0.0,0.0,0.024580336006650376
24,0.00010049694591405778,0.0,0.0,0.0,0.01975860284467353
25,9.710666339296311e-05,0.0,0.0,0.0,0.02257843297696494
26,0.00024711353917051404,0.0,0.0,0.0,0.01569835731756966
27,9.664153953736831e-05,0.0,0.0,0.0,0.021928265767979627
28,8.839030318101683e-05,0.0,0.0,0.0,0.02372493430808486
29,8.795852194186644e-05,0.0,0.0,0.0,0.02329701293272979
30,8.617219631599429e-05,0.0,0.0,0.0,0.02495629538752807
31,8.474698036173747e-05,0.0,0.0,0.0,0.02474114388036066
32,8.034365601588297e-05,0.0,0.0,0.0,0.027037794823500345
33,7.760290720619697e-05,0.0,0.0,0.0,0.027225476307036197
