,eval_task0,eval_task1,eval_task2
after_task0,-0.04169169440865517,-0.05713988468050957,-0.16361738741397858
after_task1,-0.023815708234906197,-0.08354473114013672,-0.15610648691654205
after_task2,-0.0488179475069046,-0.10644453018903732,-0.12747210264205933
